population,human,human,human,human,monkey W,monkey W,monkey W,monkey W,monkey E,monkey E,monkey E,monkey E
load,1,1,3,3,1,1,2,2,1,1,2,2
delay,short,long,short,long,short,long,short,long,short,long,short,long
,0,-1,5,-2,-2.330154844,49.64675721,-31.58609128,29.37589257,-68.42466458,-100.0634798,32.91702711,-88.56416631
,7,-1,24,-11,-58.38763496,4.06763365,-75.44838662,-15.52358479,17.66379688,-41.08472563,-178.7326989,-118.3234532
,7,-6,7,32,-21.01855161,-30.23767707,17.32121528,-36.72246961,-19.69152391,33.50974122,25.28707022,43.26084304
,5,-3,-13,-28,16.99288285,-16.19149968,9.546612536,2.861071897,36.55201591,62.70398659,-4.222448542,170.3311823
,-8,-26,8,9,66.67546491,-23.28592888,4.332716643,9.06308398,19.72979791,117.4677191,-136.5328244,-136.7651948
,5,-4,17,-39,-80.43261625,5.641154525,16.98829262,52.64567347,15.06525674,73.26647589,-13.47374505,-117.9302709
,8,-11,1,-135,-3.189604776,-16.63824193,74.79283817,67.91367448,64.7013072,-26.63792376,-19.96393163,-36.67580676
,18,-2,13,-13,19.47689824,24.27492824,47.06253214,-10.8009383,1.459161477,55.50873016,-127.4430159,-73.63927487
,-2,-16,-150,143,53.756835,-2.738195163,-126.6053443,-7.616673101,-57.13938362,10.51806241,112.4067291,110.0988619
,-18,-39,-3,48,-94.94820807,-48.71900268,61.83529797,-125.6144444,-39.63401405,-12.32626336,-94.65643994,-106.6817299
,-15,13,29,-3,51.83809755,14.45839989,121.3966952,12.65167568,-6.86250123,-170.4063685,151.3001621,145.2340861
,26,10,11,138,-9.492072803,63.76791048,31.62643999,101.1339188,-132.3960912,38.93142311,-71.22147236,109.2688258
,-23,-13,-22,32,-13.05788995,175.6412253,102.7333072,86.73937278,-58.40334886,149.0304779,-13.16712575,171.3389063
,-10,6,59,64,30.1443356,46.56038751,22.15127768,5.003510175,-71.95077914,-20.59273321,-50.62131929,22.23460656
,25,11,-53,50,43.67243398,-79.46100423,32.35050302,-23.55250864,95.05170681,109.3006014,133.4829585,50.46495925
,4,-2,-26,-10,-46.0431528,-36.29756737,-69.81732513,57.48212725,25.34727776,41.27321656,-49.05276152,179.5758942
,12,7,8,1,-15.88232738,18.16697802,104.3698976,42.58876152,-152.5223937,-119.6544847,-41.75632561,114.1226052
,2,36,33,7,55.26166373,20.52602703,-43.8452676,172.1654681,-84.84106765,-24.41361411,61.11188521,-140.5766609
,1,17,-78,35,-0.768676988,-48.91136969,13.37446994,90.28766909,-35.36787712,-38.90849183,-167.4834071,42.59279523
,-5,-21,45,48,10.424064,-122.9181901,40.54028722,20.21824124,104.6641371,95.70810796,10.96114459,66.57596374
,-34,2,-19,-35,9.522992068,66.32951023,102.1769648,82.36442275,122.7102424,158.7289315,111.9604256,-54.34967557
,10,18,-10,71,4.810047626,22.37613282,-49.72278534,13.92741455,156.9245765,-35.44395004,-36.65824537,-165.5951629
,-15,-12,-5,-2,-75.03582132,54.91779275,-75.28930559,-166.5489269,-14.04784183,20.78299899,-68.96741879,-63.31911186
,12,7,63,77,2.458409015,-17.2456316,-55.20385031,-53.07565567,138.5520315,-19.84339597,-174.8098108,-175.4454163
,-1,-12,-67,-15,-34.2275732,72.59191529,115.1837287,2.874274745,91.46591806,-164.9115801,-77.74761192,-36.2815887
,8,37,40,5,-30.15155698,7.765156166,-11.38629801,-46.04145719,-37.4731715,-25.7316487,15.134088,139.0250937
,14,-32,2,53,21.21653563,23.60587059,-6.95928098,13.68705367,15.38282206,-112.5,-51.8914533,25.84282402
,-11,13,-17,-19,-1.84580842,24.97646239,54.62724748,-71.55665692,46.31905174,144.453926,131.8998676,65.97732391
,12,-30,156,145,-112.0929314,36.92160011,36.53702557,-40.40396338,37.98222131,67.79367067,-16.42235924,55.05709049
,13,-130,-68,-162,-35.87003322,-48.36514625,144.04605,-20.32271397,75.66978986,-60.11183903,-135.9225515,-20.39312115
,-12,-31,11,-123,6.016487254,39.61234808,-97.98011375,-17.4869522,115.1209686,61.7019198,68.48093236,78.49343122
,29,38,52,-34,68.39196251,-49.21829694,-30.98423776,86.2123867,-22.6050828,-8.682099428,145.4330158,-86.77269129
,-18,-28,2,-175,81.01971121,2.358415302,4.91774386,149.2352207,-9.607758887,115.1845871,76.28829045,-150.7625178
